!LibTD: enabled
ElvUI_DTBars2: disabled
EasyDelete: disabled
NPCScan: enabled
Handynotes_Pandaria: disabled
zPetBattleLevelUpMonitor: disabled
ElvUI_QuestXP: disabled
MasterPlan: enabled
MasterPlanA: enabled
Narcissus: disabled
Narcissus_Database: disabled
Narcissus_Barbershop: disabled
CanIMogIt: disabled
MeetingStonePlus: disabled
DBM-Shadowlands: disabled
EJShowSL: enabled
HandyNotes_ScourgeInvasionShadowlands: enabled
AutoTradeSkill: disabled
HandyNotes_Shadowlands: disabled
ACP: disabled
VenturePlan: disabled
!AutoRefuse: disabled
AutoArena: disabled
CovenantMissionHelper: disabled
!HFixInv: disabled
FreeInstanceFetcher: disabled
BigDebuffs: disabled
GladiusEx: disabled
REFlex: disabled
AzerPUG's Valor ToolTips: disabled
BigFootBank: enabled
AzerPUG's ToolTips: disabled
Details_Covenants: disabled
OmniCC: disabled
OmniCC_Config: disabled
OmniCD: disabled
PlateColor: enabled
QuestPlates: enabled
DBM-SanctumOfDomination: disabled
tekDebug: enabled
LibStub: enabled
CallbackHandler-1.0: enabled
Ace3: enabled
LibDualSpec-1.0: enabled
LibSharedMedia-3.0: enabled
LibDBIcon-1.0: enabled
LibWindow-1.1: enabled
NickTag-1.0: enabled
LibDataBroker-1.1: enabled
LibItemUpgradeInfo-1.0: enabled
LibGroupInSpecT-1.1: enabled
LibCompress: enabled
LibGraph-2.0: enabled
Blizzard_PetJournal: enabled
SharedMedia: enabled
Tukui: enabled
SunnArt: enabled
Gatherer: enabled
AceGUI-3.0_SFX-Widgets: enabled
BrewmasterTools: enabled
ConsolePort: enabled
SpellFlash: enabled
SpellFlashCore: enabled
AceGUI-3.0-SharedMediaWidgets: enabled
GTFO: enabled
LibButtonGlow-1.0: enabled
LibSpellRange-1.0: enabled
LibRangeCheck-2.0: enabled
LibClassicDurations: enabled
LibClassicCasterino: enabled
!BlizzBugsSuck: enabled
!ClassColors: enabled
LibQTip-1.0: enabled
LibRealmInfo: enabled
LibDBIcon: enabled
tullaCC: enabled
sct: enabled
sctd: enabled
Parrot: enabled
DRList-1.0: enabled
LibDogTag-3.0: enabled
LibDogTag-Unit-3.0: enabled
LibDogTag-Stats-3.0: enabled
LibOO-1.0: enabled
LibBabble-CreatureType-3.0: enabled
LibBabble-Race-3.0: enabled
LibChatAnims: enabled
LibDeflate: enabled
LibSerialize: enabled
BigWigs: enabled
MRT: disabled
